avaliacao_id,colaborador_id,periodo,nota_tecnica,nota_comportamental,nota_gestor,media_geral,resultado
AVL-00490,VLT-0122,2024-Q4,9.6,8.6,5.2,7.8,Meets Expectations
AVL-00491,VLT-0123,2024-Q1,8.0,8.1,5.1,7.07,Exceeds Expectations
AVL-00492,VLT-0123,2025-Q2,8.0,6.5,5.5,6.67,Meets Expectations
AVL-00493,VLT-0123,2024-Q4,8.9,10,8.8,9.23,Below Expectations
AVL-00494,VLT-0123,2024-Q2,7.8,7.4,7.0,7.4,Exceeds Expectations
AVL-00495,VLT-0123,2025-Q1,7.3,7.3,7.4,7.33,Exceeds Expectations
AVL-00496,VLT-0123,2024-Q3,6.3,8.8,5.5,6.87,Meets Expectations
AVL-00497,VLT-0124,2024-Q4,4.8,6.4,9.3,6.83,Below Expectations
AVL-00498,VLT-0124,2024-Q1,8.1,6.9,8.3,7.77,Exceeds Expectations
AVL-00499,VLT-0124,2025-Q1,7.1,5.9,10,7.67,Exceeds Expectations
AVL-00506,VLT-0126,2024-Q2,9.6,7.5,,7.77,Below Expectations
AVL-00507,VLT-0126,2024-Q4,5.9,8.8,10,8.23,Meets Expectations
AVL-00508,VLT-0126,2025-Q1,5.5,7.6,7.0,6.7,Exceptional
AVL-00509,VLT-0126,2024-Q3,9.0,7.5,10,8.83,Meets Expectations
AVL-00515,VLT-0128,2024-Q2,10,6.9,7.9,8.27,Meets Expectations
AVL-00516,VLT-0128,2025-Q1,8.9,8.4,10,9.1,Exceeds Expectations
AVL-00517,VLT-0128,2025-Q2,6.1,8.6,,8.13,Exceeds Expectations
AVL-00518,VLT-0128,2024-Q3,5.7,8.7,,6.33,Exceeds Expectations
AVL-00519,VLT-0129,2025-Q2,6.9,7.2,7.5,7.2,Meets Expectations
AVL-00520,VLT-0129,2025-Q1,7.3,4.6,7.5,6.47,Exceeds Expectations
AVL-00521,VLT-0129,2024-Q1,10,8.6,5.3,7.97,Below Expectations
AVL-00525,VLT-0131,2024-Q2,7.7,8.3,6.6,7.53,Meets Expectations
AVL-00526,VLT-0131,2025-Q1,6.4,5.4,6.8,6.2,Meets Expectations
AVL-00527,VLT-0131,2024-Q1,5.4,8.9,6.8,7.03,Below Expectations
AVL-00528,VLT-0131,2025-Q2,8.8,5.1,8.7,7.53,Meets Expectations
AVL-00538,VLT-0134,2024-Q3,7.6,6.0,7.9,7.17,Meets Expectations
AVL-00539,VLT-0134,2024-Q1,8.7,8.9,7.7,8.43,Exceeds Expectations
AVL-00540,VLT-0134,2024-Q2,7.2,7.1,8.1,7.47,Meets Expectations
AVL-00541,VLT-0134,2024-Q4,5.6,7.7,6.4,6.57,Exceeds Expectations
AVL-00542,VLT-0135,2024-Q1,5.2,7.8,10,7.67,Exceptional
AVL-00543,VLT-0135,2024-Q3,10,8.8,7.9,8.9,Exceptional
AVL-00544,VLT-0135,2025-Q1,7.1,9.3,8.0,8.13,Exceeds Expectations
AVL-00545,VLT-0135,2024-Q2,3.3,7.7,7.1,6.03,Exceeds Expectations
AVL-00546,VLT-0135,2025-Q2,8.7,7.1,7.8,7.87,Exceptional
AVL-00547,VLT-0135,2024-Q4,9.0,6.5,8.9,8.13,Exceeds Expectations
AVL-00548,VLT-0136,2025-Q1,6.2,7.3,9.6,7.7,Meets Expectations
AVL-00549,VLT-0136,2025-Q2,8.7,8.7,9.7,9.03,Meets Expectations
AVL-00550,VLT-0136,2024-Q4,8.1,10,8.0,8.7,Meets Expectations
AVL-00551,VLT-0137,2024-Q2,6.8,6.9,8.4,7.37,Meets Expectations
AVL-00552,VLT-0137,2024-Q3,7.7,10,,7.73,Below Expectations
AVL-00553,VLT-0137,2025-Q1,7.7,6.6,6.9,7.07,Exceeds Expectations
AVL-00554,VLT-0137,2024-Q1,7.3,8.0,3.4,6.23,Exceptional
AVL-00555,VLT-0138,2024-Q4,8.6,6.4,10,8.33,Exceeds Expectations
AVL-00556,VLT-0138,2025-Q2,6.1,5.0,9.9,7.0,Below Expectations
AVL-00557,VLT-0138,2025-Q1,9.0,8.0,9.3,8.77,Exceptional
AVL-00558,VLT-0138,2024-Q2,6.8,9.7,6.5,7.67,Meets Expectations
AVL-00559,VLT-0138,2024-Q3,10,6.9,7.6,8.17,Below Expectations
AVL-00567,VLT-0141,2024-Q1,8.5,6.0,9.1,7.87,Below Expectations
AVL-00568,VLT-0141,2025-Q1,6.4,5.4,7.9,6.57,Exceeds Expectations
AVL-00569,VLT-0141,2025-Q2,8.6,6.5,10,8.37,Exceeds Expectations
AVL-00570,VLT-0141,2024-Q3,7.0,8.6,6.8,7.47,Exceeds Expectations
AVL-00571,VLT-0141,2024-Q4,7.1,6.1,10,7.73,Exceeds Expectations
AVL-00572,VLT-0142,2024-Q4,8.3,7.0,,6.77,Meets Expectations
AVL-00573,VLT-0142,2024-Q1,7.8,7.5,7.7,7.67,Below Expectations
AVL-00574,VLT-0142,2024-Q3,8.8,7.2,8.0,8.0,Exceeds Expectations
AVL-00575,VLT-0142,2024-Q2,9.5,9.3,8.8,9.2,Meets Expectations
AVL-00576,VLT-0142,2025-Q2,7.7,8.9,7.1,7.9,Meets Expectations
AVL-00577,VLT-0142,2025-Q1,3.8,10,5.0,6.27,Below Expectations
AVL-00578,VLT-0143,2024-Q1,9.0,6.5,7.5,7.67,Exceeds Expectations
AVL-00579,VLT-0143,2025-Q2,6.5,7.9,9.7,8.03,Below Expectations
AVL-00580,VLT-0143,2024-Q2,5.5,6.0,6.9,6.13,Exceptional
AVL-00581,VLT-0143,2024-Q3,4.5,4.2,7.5,5.4,Meets Expectations
AVL-00582,VLT-0143,2024-Q4,9.0,8.0,4.1,7.03,Exceeds Expectations
AVL-00583,VLT-0144,2024-Q3,8.5,8.2,7.0,7.9,Meets Expectations
AVL-00584,VLT-0144,2024-Q4,8.4,7.7,7.8,7.97,Exceeds Expectations
AVL-00585,VLT-0144,2025-Q2,9.1,6.3,10,8.47,Meets Expectations
AVL-00586,VLT-0145,2024-Q1,8.1,9.4,9.5,9.0,Exceeds Expectations
AVL-00587,VLT-0145,2025-Q1,6.7,8.0,6.5,7.07,Exceeds Expectations
AVL-00588,VLT-0145,2024-Q4,7.7,8.7,7.6,8.0,Below Expectations
AVL-00589,VLT-0145,2024-Q3,7.1,7.2,8.6,7.63,Exceeds Expectations
AVL-00590,VLT-0146,2024-Q3,6.3,9.0,6.9,7.4,Meets Expectations
AVL-00591,VLT-0146,2025-Q1,8.7,8.5,,8.3,Exceeds Expectations
AVL-00592,VLT-0146,2025-Q2,8.3,10,8.8,9.03,Exceeds Expectations
AVL-00593,VLT-0146,2024-Q2,9.7,10,8.9,9.53,Exceeds Expectations
AVL-00594,VLT-0146,2024-Q1,9.0,8.4,7.8,8.4,Exceeds Expectations
AVL-00595,VLT-0147,2024-Q3,6.3,6.8,8.2,7.1,Exceeds Expectations
AVL-00596,VLT-0147,2024-Q4,10,7.9,7.4,8.43,Meets Expectations
AVL-00597,VLT-0147,2025-Q2,6.8,8.8,10,8.53,Meets Expectations
AVL-00598,VLT-0147,2024-Q1,7.0,7.3,6.8,7.03,Meets Expectations
AVL-00604,VLT-0149,2024-Q3,6.6,5.2,10,7.27,Exceptional
AVL-00605,VLT-0149,2025-Q1,9.3,8.2,,8.0,Exceptional
AVL-00606,VLT-0149,2024-Q2,4.6,8.0,7.6,6.73,Meets Expectations
AVL-00607,VLT-0149,2024-Q4,10,6.4,7.6,8.0,Meets Expectations
AVL-00608,VLT-0150,2024-Q2,6.9,9.3,8.3,8.17,Meets Expectations
AVL-00609,VLT-0150,2024-Q4,7.7,6.7,4.4,6.27,Exceeds Expectations
AVL-00610,VLT-0150,2024-Q3,6.1,8.7,7.0,7.27,Meets Expectations
AVL-00611,VLT-0150,2025-Q1,8.6,7.2,8.3,8.03,Exceptional
AVL-00612,VLT-0151,2024-Q2,7.2,8.9,9.1,8.4,Exceeds Expectations
AVL-00613,VLT-0151,2024-Q4,7.8,7.5,6.7,7.33,Meets Expectations
AVL-00614,VLT-0151,2024-Q3,4.7,8.2,5.8,6.23,Exceeds Expectations
AVL-00620,VLT-0153,2024-Q3,6.5,8.5,7.2,7.4,Meets Expectations
AVL-00621,VLT-0153,2024-Q2,7.3,7.1,6.6,7.0,Exceptional
AVL-00622,VLT-0153,2025-Q2,8.2,6.2,6.5,6.97,Below Expectations
AVL-00623,VLT-0153,2025-Q1,5.5,6.9,10,7.47,Below Expectations
AVL-00624,VLT-0154,2025-Q2,9.4,9.5,4.1,7.67,Exceeds Expectations
AVL-00625,VLT-0154,2024-Q2,6.2,6.6,9.8,7.53,Exceeds Expectations
AVL-00626,VLT-0154,2024-Q4,6.2,7.2,7.8,7.07,Exceeds Expectations
AVL-00638,VLT-0158,2025-Q2,7.8,8.1,7.8,7.9,Meets Expectations
AVL-00639,VLT-0158,2024-Q3,5.3,7.7,8.1,7.03,Below Expectations
AVL-00640,VLT-0158,2025-Q1,5.8,7.6,,6.4,Exceeds Expectations
AVL-00644,VLT-0160,2024-Q2,8.6,8.9,8.3,8.6,Meets Expectations
AVL-00645,VLT-0160,2025-Q1,4.7,9.8,9.3,7.93,Exceeds Expectations
AVL-00646,VLT-0160,2025-Q2,6.2,7.6,7.0,6.93,Meets Expectations
AVL-00647,VLT-0160,2024-Q4,8.3,9.5,7.1,8.3,Meets Expectations
AVL-00652,VLT-0162,2024-Q4,7.7,8.5,7.6,7.93,Meets Expectations
AVL-00653,VLT-0162,2024-Q2,8.6,9.1,9.1,8.93,Below Expectations
AVL-00659,VLT-0164,2024-Q2,9.1,7.9,8.4,8.47,Meets Expectations
AVL-00660,VLT-0164,2024-Q4,8.2,7.0,6.7,7.3,Meets Expectations
AVL-00661,VLT-0164,2025-Q2,9.1,7.8,,7.83,Meets Expectations
AVL-00662,VLT-0165,2024-Q4,4.9,8.4,5.9,6.4,Meets Expectations
AVL-00663,VLT-0165,2024-Q1,8.9,6.5,6.8,7.4,Exceeds Expectations
AVL-00664,VLT-0165,2025-Q2,7.4,8.1,4.9,6.8,Exceeds Expectations
AVL-00665,VLT-0165,2025-Q1,9.5,6.0,6.4,7.3,Exceptional
AVL-00666,VLT-0166,2024-Q1,8.5,5.6,,6.23,Meets Expectations
AVL-00667,VLT-0166,2024-Q2,7.3,10,7.2,8.17,Exceeds Expectations
AVL-00668,VLT-0166,2025-Q2,6.9,9.0,6.6,7.5,Exceeds Expectations
AVL-00669,VLT-0166,2024-Q4,8.1,7.6,7.5,7.73,Exceeds Expectations
AVL-00670,VLT-0166,2025-Q1,6.9,9.6,4.7,7.07,Below Expectations
AVL-00671,VLT-0166,2024-Q3,9.1,6.3,8.7,8.03,Exceptional
AVL-00672,VLT-0167,2025-Q2,7.1,8.2,10,8.43,Exceeds Expectations
AVL-00673,VLT-0167,2025-Q1,10,6.8,8.8,8.53,Meets Expectations
AVL-00674,VLT-0167,2024-Q1,6.3,7.0,8.8,7.37,Exceeds Expectations
AVL-00675,VLT-0167,2024-Q2,5.6,6.5,8.7,6.93,Meets Expectations
AVL-00676,VLT-0167,2024-Q4,5.7,7.7,4.6,6.0,Meets Expectations
AVL-00677,VLT-0167,2024-Q3,9.4,6.2,7.6,7.73,Meets Expectations
AVL-00686,VLT-0170,2025-Q1,6.5,7.2,8.9,7.53,Meets Expectations
AVL-00687,VLT-0170,2025-Q2,5.7,8.4,5.0,6.37,Meets Expectations
AVL-00688,VLT-0170,2024-Q4,3.6,7.1,9.9,6.87,Exceptional
AVL-00689,VLT-0170,2024-Q3,6.4,8.0,8.3,7.57,Exceeds Expectations
AVL-00709,VLT-0175,2025-Q2,5.8,6.5,7.5,6.6,Meets Expectations
AVL-00710,VLT-0175,2024-Q2,7.2,10,8.8,8.67,Meets Expectations
AVL-00711,VLT-0175,2024-Q1,7.7,8.8,5.8,7.43,Meets Expectations
AVL-00712,VLT-0175,2024-Q4,7.6,7.6,5.9,7.03,Exceeds Expectations
AVL-00713,VLT-0175,2024-Q3,10,7.4,10,9.13,Meets Expectations
AVL-00714,VLT-0176,2024-Q4,5.6,9.7,7.6,7.63,Exceptional
AVL-00715,VLT-0176,2025-Q1,6.1,7.9,9.7,7.9,Meets Expectations
AVL-00716,VLT-0176,2024-Q1,8.6,7.8,10,8.8,Meets Expectations
AVL-00717,VLT-0176,2024-Q3,6.8,6.4,3.2,5.47,Exceptional
AVL-00718,VLT-0177,2024-Q3,7.4,7.9,4.5,6.6,Exceeds Expectations
AVL-00719,VLT-0177,2024-Q1,6.6,9.0,,7.43,Meets Expectations
AVL-00720,VLT-0177,2024-Q2,7.2,8.9,10,8.7,Exceeds Expectations
AVL-00721,VLT-0177,2024-Q4,4.3,9.3,6.3,6.63,Exceeds Expectations
AVL-00725,VLT-0179,2024-Q1,8.5,7.7,6.8,7.67,Meets Expectations
AVL-00726,VLT-0179,2024-Q3,8.0,9.1,5.7,7.6,Below Expectations
AVL-00727,VLT-0179,2024-Q4,7.3,9.3,5.4,7.33,Meets Expectations
AVL-00728,VLT-0179,2025-Q2,5.6,6.0,6.9,6.17,Exceeds Expectations
AVL-00729,VLT-0179,2024-Q2,9.3,8.8,8.1,8.73,Exceeds Expectations
AVL-00734,VLT-0181,2024-Q1,9.7,9.8,5.9,8.47,Meets Expectations
AVL-00735,VLT-0181,2025-Q1,5.6,8.4,6.1,6.7,Below Expectations
AVL-00736,VLT-0181,2024-Q4,7.9,9.1,9.5,8.83,Below Expectations
AVL-00737,VLT-0182,2024-Q1,8.1,7.9,9.7,8.57,Meets Expectations
AVL-00738,VLT-0182,2024-Q3,9.0,6.2,8.7,7.97,Exceptional
AVL-00739,VLT-0182,2025-Q1,7.8,6.6,4.6,6.33,Meets Expectations
AVL-00740,VLT-0182,2024-Q2,8.8,6.7,,7.53,Exceeds Expectations
AVL-00741,VLT-0183,2024-Q4,7.9,6.1,8.5,7.5,Meets Expectations
AVL-00742,VLT-0183,2024-Q3,9.6,9.3,8.4,9.1,Meets Expectations
AVL-00743,VLT-0183,2024-Q2,7.0,7.3,10,8.1,Exceptional
AVL-00744,VLT-0183,2025-Q2,5.3,7.7,,6.23,Exceeds Expectations
AVL-00745,VLT-0184,2024-Q1,7.4,6.9,6.4,6.9,Exceeds Expectations
AVL-00746,VLT-0184,2024-Q4,6.0,6.3,6.7,6.33,Exceptional
AVL-00747,VLT-0184,2025-Q2,8.6,9.4,8.2,8.73,Exceeds Expectations
AVL-00748,VLT-0185,2024-Q1,6.5,8.0,,8.17,Exceeds Expectations
AVL-00749,VLT-0185,2025-Q1,8.6,8.7,10,9.1,Below Expectations
AVL-00750,VLT-0185,2025-Q2,9.2,5.6,8.7,7.83,Meets Expectations
AVL-00751,VLT-0186,2024-Q4,4.2,8.5,5.8,6.17,Below Expectations
AVL-00752,VLT-0186,2024-Q1,9.2,5.6,5.9,6.9,Exceptional
AVL-00753,VLT-0186,2024-Q2,7.1,6.6,,7.47,Meets Expectations
AVL-00754,VLT-0186,2025-Q2,6.2,6.3,7.1,6.53,Exceeds Expectations
AVL-00755,VLT-0187,2024-Q3,9.3,5.3,4.7,6.43,Below Expectations
AVL-00756,VLT-0187,2024-Q4,9.9,7.2,8.8,8.63,Meets Expectations
AVL-00757,VLT-0187,2025-Q1,6.5,8.0,9.6,8.03,Exceeds Expectations
AVL-00758,VLT-0187,2025-Q2,9.7,7.4,7.5,8.2,Exceeds Expectations
AVL-00759,VLT-0187,2024-Q2,8.7,6.5,5.6,6.93,Meets Expectations
AVL-00760,VLT-0187,2024-Q1,7.6,9.5,7.7,8.27,Exceeds Expectations
AVL-00767,VLT-0189,2024-Q2,8.2,4.9,8.6,7.23,Meets Expectations
AVL-00768,VLT-0189,2025-Q2,7.2,7.3,6.8,7.1,Below Expectations
AVL-00769,VLT-0189,2024-Q1,9.2,7.5,10,8.9,Meets Expectations
AVL-00770,VLT-0189,2024-Q3,6.2,6.4,9.4,7.33,Meets Expectations
AVL-00771,VLT-0190,2025-Q2,7.1,8.7,9.2,8.33,Below Expectations
AVL-00772,VLT-0190,2024-Q2,6.9,10,6.2,7.7,Meets Expectations
AVL-00773,VLT-0190,2024-Q1,8.0,8.2,6.8,7.67,Meets Expectations
AVL-00774,VLT-0191,2024-Q2,3.7,7.2,,6.07,Exceptional
AVL-00775,VLT-0191,2024-Q4,6.5,8.1,7.1,7.23,Meets Expectations
AVL-00776,VLT-0191,2024-Q1,8.8,8.4,8.1,8.43,Exceptional
AVL-00777,VLT-0191,2025-Q1,9.7,6.9,7.5,8.03,Meets Expectations
AVL-00778,VLT-0191,2025-Q2,8.3,8.2,10,8.83,Meets Expectations
AVL-00779,VLT-0191,2024-Q3,8.4,7.6,8.4,8.13,Exceptional
AVL-00791,VLT-0194,2025-Q1,5.8,8.7,5.7,6.73,Exceeds Expectations
AVL-00792,VLT-0194,2024-Q4,9.1,7.1,7.0,7.73,Exceeds Expectations
AVL-00793,VLT-0194,2025-Q2,6.8,6.2,6.5,6.5,Exceeds Expectations
AVL-00794,VLT-0194,2024-Q2,5.4,7.1,9.5,7.33,Exceptional
AVL-00795,VLT-0194,2024-Q3,9.5,9.0,8.6,9.03,Meets Expectations
AVL-00796,VLT-0195,2024-Q3,5.0,9.4,6.8,7.07,Meets Expectations
AVL-00797,VLT-0195,2024-Q1,4.8,9.6,7.5,7.3,Meets Expectations
AVL-00798,VLT-0195,2024-Q2,3.9,10,5.6,6.5,Meets Expectations
AVL-00802,VLT-0197,2024-Q3,10,9.5,7.7,9.07,Exceeds Expectations
AVL-00803,VLT-0197,2025-Q1,7.5,8.8,8.2,8.17,Below Expectations
AVL-00804,VLT-0197,2025-Q2,9.6,7.1,8.7,8.47,Meets Expectations
AVL-00805,VLT-0197,2024-Q2,9.5,6.9,8.9,8.43,Exceptional
AVL-00806,VLT-0197,2024-Q1,7.7,8.0,7.9,7.87,Meets Expectations
AVL-00807,VLT-0198,2024-Q1,7.2,7.1,,6.97,Exceeds Expectations
AVL-00808,VLT-0198,2025-Q1,7.0,9.4,6.9,7.77,Exceptional
AVL-00809,VLT-0198,2024-Q4,9.8,8.0,8.0,8.6,Exceptional
AVL-00810,VLT-0198,2024-Q2,6.7,7.6,5.1,6.47,Meets Expectations
AVL-00811,VLT-0198,2024-Q3,5.7,7.1,6.2,6.33,Meets Expectations
AVL-00816,VLT-0200,2024-Q1,7.8,6.8,7.9,7.5,Meets Expectations
AVL-00817,VLT-0200,2025-Q1,7.4,7.7,7.1,7.4,Exceptional
AVL-00818,VLT-0201,2024-Q2,8.7,5.4,9.1,7.73,Meets Expectations
AVL-00819,VLT-0201,2024-Q1,7.7,7.5,,8.4,Meets Expectations
AVL-00820,VLT-0201,2024-Q4,6.7,7.4,6.6,6.9,Below Expectations
AVL-00825,VLT-0203,2024-Q3,5.9,9.9,7.0,7.6,Exceeds Expectations
AVL-00826,VLT-0203,2024-Q4,8.0,6.6,7.4,7.33,Meets Expectations
AVL-00827,VLT-0203,2025-Q2,6.8,8.2,7.2,7.4,Meets Expectations
AVL-00828,VLT-0203,2024-Q2,8.2,7.0,9.9,8.37,Exceeds Expectations
AVL-00829,VLT-0203,2025-Q1,8.3,9.1,6.4,7.93,Meets Expectations
AVL-00830,VLT-0203,2024-Q1,6.2,6.4,8.9,7.17,Meets Expectations
AVL-00831,VLT-0204,2024-Q2,8.5,7.0,8.6,8.03,Meets Expectations
AVL-00832,VLT-0204,2024-Q4,6.6,9.2,7.1,7.63,Meets Expectations
AVL-00833,VLT-0204,2025-Q1,6.4,7.7,7.8,7.3,Below Expectations
AVL-00834,VLT-0204,2024-Q1,9.7,8.9,6.6,8.4,Exceeds Expectations
AVL-00841,VLT-0206,2025-Q2,5.9,9.3,8.4,7.87,Meets Expectations
AVL-00842,VLT-0206,2024-Q1,9.9,8.3,7.0,8.4,Exceeds Expectations
AVL-00843,VLT-0206,2024-Q2,7.7,10,5.5,7.73,Meets Expectations
AVL-00844,VLT-0206,2024-Q4,6.2,10,4.0,6.73,Meets Expectations
AVL-00845,VLT-0207,2025-Q1,9.3,8.2,8.5,8.67,Below Expectations
AVL-00846,VLT-0207,2024-Q1,5.7,8.9,8.8,7.8,Exceptional
AVL-00847,VLT-0208,2025-Q1,9.6,6.5,5.9,7.33,Meets Expectations
AVL-00848,VLT-0208,2024-Q1,7.0,6.3,8.8,7.37,Meets Expectations
AVL-00849,VLT-0208,2024-Q3,10,9.3,7.8,9.03,Exceeds Expectations
AVL-00850,VLT-0208,2024-Q2,6.8,6.5,7.1,6.8,Exceeds Expectations
AVL-00851,VLT-0209,2024-Q1,7.2,5.7,7.6,6.83,Exceeds Expectations
AVL-00852,VLT-0209,2025-Q1,5.8,6.8,8.8,7.13,Exceptional
AVL-00853,VLT-0209,2025-Q2,9.3,6.6,6.7,7.53,Exceeds Expectations
AVL-00854,VLT-0209,2024-Q4,7.0,6.8,9.8,7.87,Meets Expectations
AVL-00855,VLT-0210,2024-Q2,8.4,9.7,7.4,8.5,Below Expectations
AVL-00856,VLT-0210,2024-Q3,7.6,10,3.7,7.1,Meets Expectations
AVL-00857,VLT-0210,2025-Q1,8.5,7.8,8.3,8.2,Meets Expectations
AVL-00858,VLT-0210,2024-Q1,5.3,9.8,9.1,8.07,Meets Expectations
AVL-00859,VLT-0211,2025-Q1,9.4,10,4.8,8.07,Exceeds Expectations
AVL-00860,VLT-0211,2025-Q2,6.1,8.7,6.8,7.2,Meets Expectations
AVL-00861,VLT-0211,2024-Q3,4.9,5.9,9.9,6.9,Below Expectations
AVL-00862,VLT-0211,2024-Q4,8.5,9.4,8.1,8.67,Meets Expectations
AVL-00863,VLT-0212,2024-Q2,6.7,9.1,6.3,7.37,Exceeds Expectations
AVL-00864,VLT-0212,2025-Q2,8.9,9.0,5.7,7.87,Exceeds Expectations
AVL-00865,VLT-0212,2025-Q1,8.4,8.0,6.6,7.67,Meets Expectations
AVL-00866,VLT-0212,2024-Q1,8.4,5.9,8.1,7.47,Exceptional
AVL-00867,VLT-0212,2024-Q4,5.9,8.2,9.0,7.7,Meets Expectations
AVL-00868,VLT-0212,2024-Q3,7.2,9.3,6.1,7.53,Exceeds Expectations
AVL-00869,VLT-0213,2024-Q1,7.8,9.2,8.1,8.37,Exceeds Expectations
AVL-00870,VLT-0213,2025-Q2,5.6,5.7,,6.1,Exceeds Expectations
AVL-00871,VLT-0213,2024-Q3,9.2,7.5,10,8.9,Meets Expectations
AVL-00872,VLT-0213,2024-Q2,7.1,9.8,,7.77,Meets Expectations
AVL-00873,VLT-0213,2024-Q4,7.0,9.1,9.3,8.47,Exceeds Expectations
AVL-00874,VLT-0214,2024-Q4,8.4,5.5,,7.6,Meets Expectations
AVL-00875,VLT-0214,2025-Q2,7.4,7.7,8.9,8.0,Meets Expectations
AVL-00876,VLT-0214,2024-Q3,8.0,6.3,7.3,7.2,Below Expectations
AVL-00877,VLT-0214,2024-Q1,5.9,5.5,8.0,6.47,Exceptional
AVL-00878,VLT-0215,2024-Q2,5.2,8.0,7.4,6.87,Exceeds Expectations
AVL-00879,VLT-0215,2024-Q3,8.7,8.2,6.8,7.9,Below Expectations
AVL-00880,VLT-0215,2025-Q1,5.6,7.1,4.1,5.6,Exceeds Expectations
AVL-00881,VLT-0216,2024-Q1,5.3,7.6,7.7,6.87,Exceeds Expectations
AVL-00882,VLT-0216,2024-Q2,6.8,8.7,10,8.5,Exceptional
AVL-00883,VLT-0216,2025-Q1,5.9,6.4,,5.57,Exceptional
AVL-00884,VLT-0216,2024-Q3,6.2,5.5,7.7,6.47,Exceptional
AVL-00885,VLT-0216,2024-Q4,9.9,7.0,5.9,7.6,Exceptional
AVL-00886,VLT-0217,2025-Q2,2.9,7.7,6.1,5.57,Exceptional
AVL-00887,VLT-0217,2024-Q3,5.1,7.3,3.6,5.33,Meets Expectations
AVL-00888,VLT-0217,2024-Q1,6.8,6.8,6.4,6.67,Meets Expectations
AVL-00889,VLT-0217,2024-Q2,7.2,10,7.8,8.33,Exceeds Expectations
AVL-00890,VLT-0218,2025-Q2,5.5,5.9,9.1,6.83,Below Expectations
AVL-00891,VLT-0218,2024-Q1,6.8,9.2,8.5,8.17,Exceptional
AVL-00892,VLT-0219,2025-Q1,8.4,7.2,8.2,7.93,Meets Expectations
AVL-00893,VLT-0219,2024-Q3,10,6.7,10,8.9,Exceeds Expectations
AVL-00894,VLT-0219,2024-Q2,6.8,7.1,8.2,7.37,Meets Expectations
AVL-00895,VLT-0219,2024-Q1,10,6.5,5.0,7.17,Exceeds Expectations
AVL-00896,VLT-0219,2024-Q4,8.3,9.4,4.7,7.47,Meets Expectations
AVL-00897,VLT-0219,2025-Q2,5.8,9.7,6.5,7.33,Exceptional
AVL-00903,VLT-0221,2024-Q4,7.7,9.6,9.7,9.0,Meets Expectations
AVL-00904,VLT-0221,2024-Q3,8.2,6.8,7.5,7.5,Exceeds Expectations
AVL-00905,VLT-0221,2024-Q1,7.6,8.4,7.9,7.97,Meets Expectations
AVL-00906,VLT-0221,2024-Q2,6.1,7.4,8.2,7.23,Exceptional
AVL-00907,VLT-0221,2025-Q2,6.1,5.2,7.5,6.27,Exceeds Expectations
AVL-00908,VLT-0222,2025-Q2,10,6.8,9.5,8.77,Meets Expectations
AVL-00909,VLT-0222,2025-Q1,10,6.4,10,8.8,Exceeds Expectations
AVL-00910,VLT-0222,2024-Q2,5.7,6.2,7.9,6.6,Exceptional
AVL-00911,VLT-0222,2024-Q3,7.2,8.7,10,8.63,Meets Expectations
AVL-00912,VLT-0223,2025-Q2,8.0,7.5,9.1,8.2,Exceeds Expectations
AVL-00913,VLT-0223,2024-Q3,6.1,6.1,6.0,6.07,Meets Expectations
AVL-00914,VLT-0223,2025-Q1,8.4,8.1,9.6,8.7,Meets Expectations
AVL-00928,VLT-0227,2024-Q2,6.1,5.9,8.1,6.7,Exceeds Expectations
AVL-00929,VLT-0227,2025-Q2,5.6,6.1,6.6,6.1,Exceptional
AVL-00930,VLT-0227,2024-Q1,6.4,8.8,7.3,7.5,Meets Expectations
AVL-00931,VLT-0227,2024-Q4,10,6.9,5.0,7.3,Exceptional
AVL-00932,VLT-0227,2025-Q1,5.8,6.7,8.0,6.83,Exceptional
AVL-00933,VLT-0227,2024-Q3,7.9,7.7,8.0,7.87,Meets Expectations
AVL-00934,VLT-0228,2025-Q1,8.5,6.6,8.2,7.77,Exceeds Expectations
AVL-00935,VLT-0228,2025-Q2,8.5,7.7,6.6,7.6,Exceeds Expectations
AVL-00936,VLT-0228,2024-Q3,4.1,8.4,9.5,7.33,Meets Expectations
AVL-00937,VLT-0229,2024-Q1,6.6,7.9,,6.67,Exceeds Expectations
AVL-00938,VLT-0229,2025-Q2,7.0,5.7,7.7,6.8,Exceeds Expectations
AVL-00939,VLT-0229,2024-Q4,7.4,9.9,8.2,8.5,Below Expectations
AVL-00940,VLT-0229,2024-Q2,5.7,7.7,7.8,7.07,Meets Expectations
AVL-00941,VLT-0229,2025-Q1,7.7,6.4,5.3,6.47,Meets Expectations
AVL-00951,VLT-0233,2025-Q1,7.7,10,5.2,7.63,Meets Expectations
AVL-00952,VLT-0233,2024-Q3,6.3,9.0,3.9,6.4,Exceeds Expectations
AVL-00953,VLT-0233,2024-Q1,7.5,6.6,7.6,7.23,Exceeds Expectations
AVL-00954,VLT-0233,2025-Q2,5.6,8.1,8.5,7.4,Exceeds Expectations
AVL-00955,VLT-0233,2024-Q2,8.7,7.2,5.3,7.07,Exceeds Expectations
AVL-00956,VLT-0234,2024-Q1,8.0,7.9,4.4,6.77,Meets Expectations
AVL-00957,VLT-0234,2025-Q2,6.7,6.5,9.1,7.43,Exceeds Expectations
AVL-00958,VLT-0234,2025-Q1,6.7,6.3,8.4,7.13,Exceeds Expectations
AVL-00959,VLT-0234,2024-Q4,7.2,8.3,9.5,8.33,Exceeds Expectations
